millis,datetime,lon,lat,ax,ay,az,temp,pres
13060,,,,535,503,617,,
13264,,,,,,,20.52,1043.50
13463,,,,515,503,617,,
13662,,,,515,503,617,,
13858,,,,515,503,616,,
14055,,,,516,503,617,,
14254,,,,515,503,617,,
14450,,,,515,503,617,,
14657,,,,,,,20.53,1041.40
14854,,,,515,503,617,,
15052,,,,515,503,617,,
15249,,,,516,503,616,,
15448,,,,516,503,617,,
15646,,,,515,503,616,,
15845,,,,516,503,617,,
16050,,,,,,,20.52,1043.50
16248,,,,515,503,617,,
16445,,,,515,503,616,,
16644,,,,516,503,617,,
16842,,,,515,503,616,,
17125,,,,516,503,617,,
17315,,,,,,,20.52,1044.20
17526,,,,515,503,617,,
17725,,,,515,503,617,,
17926,,,,515,503,616,,
18124,,,,516,503,617,,
18325,,,,516,503,616,,
18526,,,,516,503,616,,
18733,,,,,,,20.51,1040.70
18933,,,,516,503,617,,
19136,,,,515,503,617,,
19333,,,,516,503,617,,
19533,,,,516,503,617,,
19732,,,,515,503,617,,
19931,,,,515,503,617,,
20137,,,,,,,20.52,1041.40
20338,,,,515,503,616,,
20537,,,,515,503,617,,
20736,,,,515,503,616,,
20934,,,,515,503,617,,
21135,,,,515,503,617,,
21424,,,,,,,20.53,1040.70
21608,,,,515,503,616,,
21805,,,,515,503,617,,
22007,,,,515,503,617,,
22220,,,,516,503,616,,
22419,,,,515,503,616,,
22624,,,,,,,20.52,1040.70
22822,,,,515,503,616,,
23019,,,,515,503,616,,
23220,,,,516,503,617,,
23414,,,,515,503,617,,
23613,,,,515,503,617,,
23810,,,,515,503,617,,
24018,,,,,,,20.51,1040.70
24215,,,,515,503,616,,
24414,,,,515,503,616,,
24610,,,,515,503,617,,
24809,,,,516,503,617,,
25006,,,,515,503,616,,
25204,,,,515,503,617,,
25409,,,,,,,20.51,1042.10
25694,,,,515,503,617,,
25874,,,,516,503,617,,
26071,,,,515,503,616,,
26269,,,,515,503,617,,
26468,,,,515,503,617,,
26667,,,,515,503,617,,
26873,,,,,,,20.51,1045.60
27072,,,,515,503,617,,
27271,,,,515,503,617,,
27469,,,,515,503,617,,
27666,,,,515,503,617,,
27867,,,,515,503,616,,
28065,,,,515,503,617,,
28272,,,,,,,20.52,1043.50
28471,,,,515,503,617,,
28669,,,,515,503,617,,
28868,,,,515,503,616,,
29065,,,,515,503,616,,
29265,,,,515,503,617,,
29462,,,,515,503,616,,
29683,,,,,,,20.51,1043.50
29878,,,,515,503,617,,
30074,,,,515,503,616,,
30271,,,,515,503,617,,
30468,,,,515,503,617,,
30666,,,,516,503,617,,
30865,,,,515,503,616,,
31072,,,,,,,20.50,1042.10
31270,,,,515,503,617,,
31467,,,,515,503,616,,
31670,,,,515,503,617,,
31866,,,,515,503,617,,
32065,,,,515,503,617,,
32264,,,,516,503,617,,
32471,,,,,,,20.49,1042.10
32669,,,,515,503,617,,
32868,,,,515,503,617,,
33064,,,,515,503,617,,
33265,,,,515,503,617,,
33462,,,,515,503,616,,
33660,,,,515,503,617,,
33953,,,,,,,20.52,1042.10
34136,,,,515,503,617,,
34334,,,,515,503,617,,
34535,,,,515,503,616,,
34734,,,,515,503,617,,
34932,,,,515,503,617,,
35129,,,,515,503,617,,
35336,,,,,,,20.50,1044.20
35532,,,,516,503,617,,
35733,,,,515,503,617,,
35928,,,,515,503,616,,
36128,,,,516,503,617,,
36325,,,,515,503,617,,
36524,,,,515,503,617,,
36728,,,,,,,20.50,1041.40
36929,,,,515,503,617,,
37124,,,,516,503,617,,
37335,,,,515,503,617,,
37531,,,,515,503,617,,
37732,,,,515,503,617,,
37928,,,,515,503,617,,
38219,,,,,,,20.49,1040.70
38400,,,,515,503,617,,
38598,,,,515,503,617,,
38797,,,,516,503,617,,
38995,,,,515,503,617,,
39192,,,,515,503,617,,
39391,,,,515,503,617,,
39598,,,,,,,20.49,1040.70
39794,,,,515,503,616,,
39993,,,,515,503,616,,
40192,,,,516,503,617,,
40892,,,,,,,20.49,1038.70
41093,,,,515,503,617,,
41850,,,,515,503,616,,
42866,,,,,,,20.49,1038.00
43065,,,,515,503,616,,
43845,,,,515,503,617,,
44861,,,,,,,20.50,1044.20
45060,,,,515,503,617,,
45871,,,,515,503,617,,
46856,,,,,,,20.50,1040.00
47138,,,,515,503,617,,
47845,,,,515,503,616,,
48840,,,,,,,20.49,1042.80
49039,,,,515,503,616,,
49850,,,,515,503,617,,
50866,,,,,,,20.50,1040.00
51064,,,,515,503,616,,
51873,,,,516,503,617,,
52840,,,,,,,20.49,1041.40
53041,,,,516,503,616,,
53819,,,,515,503,616,,
54835,,,,,,,20.48,1042.10
55033,,,,515,503,616,,
55834,,,,515,503,616,,
56829,,,,,,,20.48,1042.10
57030,,,,515,503,617,,
57819,,,,515,503,617,,
58814,,,,,,,20.48,1040.70
59013,,,,516,503,617,,
59813,,,,515,503,617,,
60829,,,,,,,20.48,1041.40
61116,,,,515,503,617,,
61798,,,,515,503,617,,
62803,,,,,,,20.49,1042.80
63002,,,,515,503,617,,
63803,,,,515,503,617,,
64798,,,,,,,20.48,1044.90
64997,,,,515,503,616,,
65818,,,,515,503,617,,
66801,,,,,,,20.49,1041.40
67000,,,,515,503,616,,
67782,,,,515,503,617,,
68798,,,,,,,20.48,1043.50
68997,,,,515,503,617,,
69777,,,,515,503,617,,
70813,,,,,,,20.49,1042.10
71012,,,,515,503,616,,
71772,,,,515,503,616,,
72839,,,,,,,20.49,1042.80
73039,,,,515,503,617,,
73766,,,,515,503,616,,
74782,,,,,,,20.49,1046.30
74964,,,,515,503,617,,
75782,,,,515,503,617,,
76767,,,,,,,20.48,1044.90
76967,,,,515,503,617,,
77766,,,,515,503,616,,
78761,,,,,,,20.49,1041.40
78962,,,,515,503,616,,
79761,,,,515,503,617,,
80787,,,,,,,20.50,1044.90
80986,,,,515,503,617,,
81756,,,,515,503,617,,
82751,,,,,,,20.48,1042.10
82952,,,,516,503,616,,
83740,,,,515,503,617,,
84746,,,,,,,20.49,1044.20
84942,,,,516,503,616,,
85766,,,,516,503,616,,
86740,,,,,,,20.49,1043.50
86939,,,,515,503,617,,
87728,,,,515,503,617,,
88743,,,,,,,20.49,1044.90
88942,,,,516,503,616,,
89735,,,,515,503,616,,
90750,,,,,,,20.50,1042.80
90949,,,,515,503,616,,
91727,,,,515,503,616,,
92723,,,,,,,20.50,1044.90
92921,,,,515,503,617,,
93773,,,,515,503,617,,
94720,,,,,,,20.49,1041.40
94918,,,,515,503,617,,
95746,,,,516,503,617,,
96720,,,,,,,20.51,1042.80
96917,,,,516,503,617,,
97703,,,,516,503,617,,
98719,,,,,,,20.50,1040.70
98918,,,,515,503,616,,
99706,,,,515,503,617,,
100724,,,,,,,20.50,1041.40
100921,,,,515,503,616,,
101703,,,,515,503,617,,
102696,,,,,,,20.50,1042.10
102897,,,,515,503,616,,
103696,,,,515,503,617,,
104693,,,,,,,20.49,1040.70
104892,,,,515,503,616,,
105711,,,,515,503,617,,
106688,,,,,,,20.51,1041.40
106887,,,,516,503,617,,
107685,,,,515,503,617,,
108691,,,,,,,20.50,1043.50
108892,,,,515,503,617,,
109680,,,,515,503,616,,
110696,,,,,,,20.49,1042.80
110895,,,,515,503,617,,
111675,,,,515,503,617,,
112670,,,,,,,20.50,1042.10
112869,,,,515,503,617,,
113670,,,,515,503,617,,
114716,,,,,,,20.49,1040.70
114997,,,,515,503,617,,
115685,,,,515,503,617,,
116670,,,,,,,20.49,1043.50
116871,,,,515,503,617,,
117649,,,,515,503,617,,
118665,,,,,,,20.50,1039.40
118865,,,,515,503,617,,
119644,,,,515,503,616,,
120680,,,,,,,20.49,1043.50
120879,,,,515,503,617,,
121649,,,,515,503,616,,
122644,,,,,,,20.49,1041.40
122853,,,,515,503,617,,
123643,,,,515,503,617,,
124639,,,,,,,20.50,1042.80
124835,,,,515,503,617,,
125659,,,,515,503,616,,
126644,,,,,,,20.50,1044.20
126842,,,,515,503,617,,
127629,,,,515,503,617,,
128628,,,,,,,20.50,1042.80
128825,,,,516,503,616,,
129628,,,,515,503,617,,
130641,,,,,,,20.51,1044.90
130840,,,,515,503,617,,
131612,,,,515,503,617,,
132616,,,,,,,20.50,1042.10
132816,,,,515,503,617,,
133617,,,,515,503,616,,
134610,,,,,,,20.52,1043.50
134811,,,,515,503,617,,
135682,,,,515,503,617,,
136605,,,,,,,20.51,1044.20
136806,,,,515,503,617,,
137607,,,,515,503,617,,
138602,,,,,,,20.51,1043.50
138799,,,,515,503,617,,
139599,,,,515,503,617,,
140617,,,,,,,20.50,1043.50
140900,,,,515,503,617,,
141594,,,,516,503,616,,
142589,,,,,,,20.50,1040.70
142788,,,,515,503,617,,
143581,,,,515,503,617,,
144586,,,,,,,20.51,1042.10
144787,,,,515,503,617,,
145604,,,,515,503,617,,
146581,,,,,,,20.52,1042.80
146778,,,,515,503,617,,
147578,,,,515,503,617,,
148576,,,,,,,20.52,1042.80
148774,,,,515,503,617,,
